rep10_2_CDS1(pIM13)	M13761  rep10_2_CDS1(pIM13)_M13761
rep10_3_pNE131p1(pNE131)	NC001390  rep10_3_pNE131p1(pNE131)_NC001390
rep10_4_repL(pDLK1)	GU562624  rep10_4_repL(pDLK1)_GU562624
rep10_5_repL(pWBG738)	DQ088624  rep10_5_repL(pWBG738)_DQ088624
rep10_6_rep(SAP093B)	GQ900442  rep10_6_rep(SAP093B)_GQ900442
rep10b_1_rep(pUR2355)	JQ312422  rep10b_1_rep(pUR2355)_JQ312422
rep10b_2_rep(pSK6)	U96610  rep10b_2_rep(pSK6)_U96610
rep10b_3_rep(pSK3)	SAU96609  rep10b_3_rep(pSK3)_SAU96609
rep11a_1_repA(pB82)	AB178871  rep11a_1_repA(pB82)_AB178871
rep11b_1_repA(pEF1071)	AF164559  rep11b_1_repA(pEF1071)_AF164559
rep11b_2_repA(Plasmid)	AY063485  rep11b_2_repA(Plasmid)_AY063485
rep11c_1_repA(pAR6)	KC167328  rep11c_1_repA(pAR6)_KC167328
rep11c_2_repA(pJS33)	EU370687  rep11c_2_repA(pJS33)_EU370687
rep11c_3_rep(pEFR)	AF511037  rep11c_3_rep(pEFR)_AF511037
rep12_1_CDS32(pBMB67)	DQ363750  rep12_1_CDS32(pBMB67)_DQ363750
rep12_2_CDS1(plasmid)	AY278324  rep12_2_CDS1(plasmid)_AY278324
rep13_10_ORF1(pACK5)	HQ170521  rep13_10_ORF1(pACK5)_HQ170521
rep13_11_ORF9(pACK2)	HQ170520  rep13_11_ORF9(pACK2)_HQ170520
rep13_12_rep49(pSW174)	AM040729  rep13_12_rep49(pSW174)_AM040729
rep13_13_repRC(pSK41)	AF051917  rep13_13_repRC(pSK41)_AF051917
rep13_14_rep(pPI2)	AB125342  rep13_14_rep(pPI2)_AB125342
rep13_1_ORF(pC194)	V01277  rep13_1_ORF(pC194)_V01277
rep13_2_CDS39(pSSP1)	AP008935  rep13_2_CDS39(pSSP1)_AP008935
rep13_3_rep(pWBG1773)	EF537646  rep13_3_rep(pWBG1773)_EF537646
rep13_4_rep(pKH13)	EU170347  rep13_4_rep(pKH13)_EU170347
rep13_5_rep(pMC524/MBM)	AJ312056  rep13_5_rep(pMC524/MBM)_AJ312056
rep13_6_rep(pLNU1)	AM184099  rep13_6_rep(pLNU1)_AM184099
rep13_7_rep(pLNU9)	AM399082  rep13_7_rep(pLNU9)_AM399082
rep13_8_rep(pUR3912)	HF677199  rep13_8_rep(pUR3912)_HF677199
rep13_9_rep(pSepCH)	AY092027  rep13_9_rep(pSepCH)_AY092027
rep14a_1_CDS2(pEFNP1)	AB038522  rep14a_1_CDS2(pEFNP1)_AB038522
rep14a_2_ORF1(pKQ10)	EFU01917  rep14a_2_ORF1(pKQ10)_EFU01917
rep14a_3_EFAU085p5001(AUS0085p5)	CP006625  rep14a_3_EFAU085p5001(AUS0085p5)_CP006625
rep14a_4_rep(AUS0004p3)	CP003354  rep14a_4_rep(AUS0004p3)_CP003354
rep14b_1_repA(pJS42)	EU370688  rep14b_1_repA(pJS42)_EU370688
rep14b_2_EFAU085p6001(AUS0085p6)	CP006626  rep14b_2_EFAU085p6001(AUS0085p6)_CP006626
rep14b_3_rep(pRI1)	EU327398  rep14b_3_rep(pRI1)_EU327398
rep14b_4_EMQU3221(pQY003)	AP013041  rep14b_4_EMQU3221(pQY003)_AP013041
rep15_1_repA(pLW043)	AE017171  rep15_1_repA(pLW043)_AE017171
rep16_1_CDS8(pSAS)	BX571858  rep16_1_CDS8(pSAS)_BX571858
rep16_2_CDS6(pSJH101)	CP000737  rep16_2_CDS6(pSJH101)_CP000737
rep16_3_rep(pSaa6159)	CP002115  rep16_3_rep(pSaa6159)_CP002115
rep16_4_SAP056A024(SAP056A)	GQ900478  rep16_4_SAP056A024(SAP056A)_GQ900478
rep16_5_SAP041A019(pWBG759)	GQ900401  rep16_5_SAP041A019(pWBG759)_GQ900401
rep16_6_SAP071A015(SAP071A)	GQ900485  rep16_6_SAP071A015(SAP071A)_GQ900485
rep16_7_Orf247(pBORa53)	AY917098  rep16_7_Orf247(pBORa53)_AY917098
rep17_1_CDS29(pRUM)	AF507977  rep17_1_CDS29(pRUM)_AF507977
rep17_2_repA(AUS0004p1)	CP003352  rep17_2_repA(AUS0004p1)_CP003352
rep17_3_repA(Aus0085p2)	CP006622  rep17_3_repA(Aus0085p2)_CP006622
rep18a_1_repA(p200B)	AB158402  rep18a_1_repA(p200B)_AB158402
rep18b_1_BO23315710(pE1p13)	CP018068  rep18b_1_BO23315710(pE1p13)_CP018068
rep18b_2_repA(pEF418)	AF408195  rep18b_2_repA(pEF418)_AF408195
rep19_10_rep(pWBG746)	GQ900390  rep19_10_rep(pWBG746)_GQ900390
rep19_11_rep(pPM1)	AB699881  rep19_11_rep(pPM1)_AB699881
rep19_12_rep(pN315)	AP003139  rep19_12_rep(pN315)_AP003139
rep19_13_rep(pBORa53)	AY917098  rep19_13_rep(pBORa53)_AY917098
rep19_14_rep(pST75)	FR821778  rep19_14_rep(pST75)_FR821778
rep19_15_repA(TCH60plasmid)	CP002111  rep19_15_repA(TCH60plasmid)_CP002111
